Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 17-26-50: Main: 6825, Feed: 5.1312
2026-01-12 17-26-51: Main: 6855, Feed: 5.1312
2026-01-12 17-26-53: Main: 6885, Feed: 5.1312
2026-01-12 17-26-54: Main: 6915, Feed: 5.1312
2026-01-12 17-26-55: Main: 6945, Feed: 5.1312
2026-01-12 17-26-56: Main: 6975, Feed: 5.1312
2026-01-12 17-26-57: Main: 7005, Feed: 5.1312
2026-01-12 17-26-58: Main: 7035, Feed: 5.1312
2026-01-12 17-26-59: Main: 7065, Feed: 5.1312
2026-01-12 17-27-00: Main: 7095, Feed: 5.1312
2026-01-12 17-27-01: Main: 7125, Feed: 5.1312
2026-01-12 17-27-02: Main: 7155, Feed: 5.1312
2026-01-12 17-27-03: Main: 7170, Feed: 5.1312
2026-01-12 17-27-04: Main: 7200, Feed: 5.1312
2026-01-12 17-27-05: Main: 7230, Feed: 5.1312
2026-01-12 17-27-06: Main: 7260, Feed: 5.1312
2026-01-12 17-27-07: Main: 7290, Feed: 5.1312
2026-01-12 17-27-08: Main: 7320, Feed: 5.1312
2026-01-12 17-27-09: Main: 7350, Feed: 5.1312
2026-01-12 17-27-10: Main: 7380, Feed: 5.1312
2026-01-12 17-27-11: Main: 7410, Feed: 5.1312
2026-01-12 17-27-13: Main: 7440, Feed: 5.1312
2026-01-12 17-27-14: Main: 7470, Feed: 5.1312
2026-01-12 17-27-15: Main: 7485, Feed: 5.1312
2026-01-12 17-27-16: Main: 7515, Feed: 5.1312
2026-01-12 17-27-17: Main: 7545, Feed: 5.1312
2026-01-12 17-27-18: Main: 7575, Feed: 5.1312
2026-01-12 17-27-19: Main: 7605, Feed: 5.1312
2026-01-12 17-27-20: Main: 7635, Feed: 5.1312
2026-01-12 17-27-21: Main: 7665, Feed: 5.1312
2026-01-12 17-27-22: Main: 7695, Feed: 5.1312
2026-01-12 17-27-23: Main: 7725, Feed: 5.1312
2026-01-12 17-27-24: Main: 7755, Feed: 5.1312
2026-01-12 17-27-25: Main: 7785, Feed: 5.1312
2026-01-12 17-27-26: Main: 7800, Feed: 5.1312
2026-01-12 17-27-27: Main: 7830, Feed: 5.1312
2026-01-12 17-27-28: Main: 7860, Feed: 5.1312
2026-01-12 17-27-29: Main: 7890, Feed: 5.1312
2026-01-12 17-27-30: Main: 7920, Feed: 5.1312
2026-01-12 17-27-31: Main: 7950, Feed: 5.1312
2026-01-12 17-27-32: Main: 7980, Feed: 5.1312
2026-01-12 17-27-34: Main: 8010, Feed: 5.1312
2026-01-12 17-27-35: Main: 8040, Feed: 5.1312
2026-01-12 17-27-36: Main: 8070, Feed: 5.1312
2026-01-12 17-27-37: Main: 8100, Feed: 5.1312
2026-01-12 17-27-38: Main: 8115, Feed: 5.1312
2026-01-12 17-27-39: Main: 8145, Feed: 5.1312
2026-01-12 17-27-40: Main: 8175, Feed: 5.1312
2026-01-12 17-27-41: Main: 8205, Feed: 5.1312
2026-01-12 17-27-42: Main: 8235, Feed: 5.1312
2026-01-12 17-27-43: Main: 8265, Feed: 5.1312
2026-01-12 17-27-44: Main: 8295, Feed: 5.1312
2026-01-12 17-27-45: Main: 8325, Feed: 5.1312
2026-01-12 17-27-46: Main: 8355, Feed: 5.1312
2026-01-12 17-27-47: Main: 8385, Feed: 5.1312
2026-01-12 17-27-48: Main: 8415, Feed: 5.1312
2026-01-12 17-27-49: Main: 8430, Feed: 5.1312
2026-01-12 17-27-50: Main: 8460, Feed: 5.1312
